time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Thu Aug 15 12:47:26 +0000 2013,@scottiejohn keep calm and soccer on #KCCO http://t.co/b2UlbhFHL1,ASpannbauer,0,0,0,@scottiejohn keep ca...
Fri Aug 09 23:41:03 +0000 2013,@Cole_BFK ............no,ASpannbauer,1,0,1,@Cole_BFK .............
Fri Aug 09 16:12:48 +0000 2013,@lydiafuson21 http://t.co/pnjaKNxUSD,ASpannbauer,0,0,0,@lydiafuson21 http:/...
Wed Aug 07 22:36:37 +0000 2013,Cut my apple shaving #getit?,ASpannbauer,2,0,2,Cut my apple shaving...
Fri Jul 26 22:53:41 +0000 2013,"""@UberFacts: Ancient Greeks believed that redheads would turn into vampires after they died."" @milagrobigelow #TimGiftCullen",ASpannbauer,0,0,0,"""@UberFacts: Ancient..."
Fri Jul 26 22:02:36 +0000 2013,@Deckness @_mharp @Cole_BFK @TaylorSBozarth @Johnsonla12 go hard boys,ASpannbauer,1,0,1,@Deckness @_mharp @C...
Wed Jul 24 22:31:06 +0000 2013,@lydiafuson21 it was though...,ASpannbauer,0,0,0,@lydiafuson21 it was...
Tue Jul 23 01:05:56 +0000 2013,Love being able to listen to music without static in the car thanks to @LaurenWard08 #goodsurprise,ASpannbauer,2,0,2,Love being able to l...
Sat Jul 20 17:34:22 +0000 2013,@Alexis92Nicole forreal???,ASpannbauer,0,0,0,@Alexis92Nicole forr...
Sat Jul 20 15:12:57 +0000 2013,So who is trying to get margaritas today #DifferentGravy,ASpannbauer,0,0,0,So who is trying to ...
Fri Jul 19 11:09:53 +0000 2013,I've slept for over 16 of the past 24 hours... #Zzzzzz,ASpannbauer,1,0,1,I've slept for over ...
Thu Jul 18 01:35:38 +0000 2013,@milagrobigelow #studyup #keepup,ASpannbauer,0,0,0,@milagrobigelow #stu...
Wed Jul 17 21:56:50 +0000 2013,"Listening to @joelvp2 shred and wondering why #avyntra doesn't have a twitter account, obviously #NoRandD",ASpannbauer,1,0,1,Listening to @joelvp...
Sat Jul 13 16:29:32 +0000 2013,@LaurenWard08 geeeeezzzz #copycat,ASpannbauer,0,0,0,@LaurenWard08 geeeee...
Sat Jul 13 13:58:09 +0000 2013,@Alexis92Nicole #TrendSetter,ASpannbauer,0,0,0,@Alexis92Nicole #Tre...
Sat Jul 13 13:17:00 +0000 2013,Np: Dying Love by Sacred #tweetlike@Alexis92Nicole,ASpannbauer,0,0,0,Np: Dying Love by Sa...
Fri Jul 12 22:57:51 +0000 2013,@Cole_BFK kinda....,ASpannbauer,1,0,1,@Cole_BFK kinda.......
Fri Jul 12 21:31:04 +0000 2013,So I drew today... http://t.co/xBVkkmJL1Z,ASpannbauer,1,1,2,So I drew today... h...
Fri Jul 05 16:28:56 +0000 2013,@milagrobigelow #nofilter,ASpannbauer,1,0,1,@milagrobigelow #nof...
Thu Jul 04 11:28:08 +0000 2013,I think of so many things to tweet that never make it... Does a tweet's life begin at conception? #serialtweetbortions,ASpannbauer,2,0,2,I think of so many t...
Wed Jul 03 13:52:56 +0000 2013,Shout out to @LaurenWard08 for being awesome and a good gift giver,ASpannbauer,1,0,1,Shout out to @Lauren...
Wed Jul 03 11:06:32 +0000 2013,Is it nap time yet?,ASpannbauer,0,0,0,Is it nap time yet?...
Sun Jun 30 23:36:31 +0000 2013,Gotta love Spain's effort when they're down for a change #soft,ASpannbauer,1,0,1,Gotta love Spain's e...
Fri Jun 28 23:40:41 +0000 2013,Dunkin Donuts parking lot could be the chillest place in Maryville,ASpannbauer,0,0,0,Dunkin Donuts parkin...
Fri Jun 28 22:13:33 +0000 2013,So mom has graduated to feeding the dog with a fork,ASpannbauer,1,0,1,So mom has graduated...
Thu Jun 27 15:36:11 +0000 2013,Funny how what I just sewed back together and what I'm about to study are the same material...#boyfriendmaterial,ASpannbauer,0,0,0,Funny how what I jus...
Mon Jun 24 03:35:00 +0000 2013,Nothing more precious than the smile of a hobo when you give him the 50¢ he needs to buy a forty to split hit his hobo buddy @Cole_BFK,ASpannbauer,2,0,2,Nothing more preciou...
Sun Jun 23 17:39:01 +0000 2013,this is water #capitalTtruth,ASpannbauer,0,0,0,this is water #capit...
Sat Jun 22 23:40:01 +0000 2013,Pregaming in the Hyundai for a wedding reception &gt;&gt;,ASpannbauer,0,0,0,Pregaming in the Hyu...
Sat Jun 22 18:44:29 +0000 2013,@Deckness prove it,ASpannbauer,0,0,0,@Deckness prove it...
Fri Jun 21 16:54:03 +0000 2013,Just finally unpacked my shit from moving out of the dorms #abouttimetopackbackup,ASpannbauer,0,0,0,Just finally unpacke...
Wed Jun 19 19:42:02 +0000 2013,Sweet sale belk http://t.co/zdfhOIgtxx,ASpannbauer,0,0,0,Sweet sale belk http...
Wed Jun 19 11:27:45 +0000 2013,@KCWard1 kill it kace! (and others too I guess) #bringhomethebacon,ASpannbauer,0,0,0,@KCWard1 kill it kac...
Thu Jun 13 23:52:57 +0000 2013,@Deckness @Cole_BFK shine on,ASpannbauer,1,0,1,@Deckness @Cole_BFK ...
Thu Jun 13 15:38:57 +0000 2013,About to teach @BradAPrice how to play basketball,ASpannbauer,1,0,1,About to teach @Brad...
Thu Jun 13 15:29:10 +0000 2013,"@Alexis92Nicole you spelled ""shit"" wrong",ASpannbauer,0,0,0,@Alexis92Nicole you ...
Mon Jun 10 03:03:19 +0000 2013,"""Can't deny the shine of a Jedi"" who knew cudi was a ssb guy @Deckness @Cole_BFK @imperphect_",ASpannbauer,1,0,1,"""Can't deny the shin..."
Fri Jun 07 19:37:54 +0000 2013,@Fluxpavilion concert tonight! Finna go off @Deckness,ASpannbauer,1,0,1,@Fluxpavilion concer...
